index,Date,Open,High,Low,Close,Volume,OpenInt
329,1963-04-23,5.0685,5.1104,5.0519,5.1104,1005969,0
330,1963-04-24,5.1189,5.1687,5.1189,5.1269,1023932,0
331,1963-04-25,5.1269,5.1519,5.1018,5.1519,835314,0
332,1963-04-26,5.1519,5.2104,5.1269,5.2104,763460,0
333,1963-04-29,5.2104,5.2607,5.1687,5.1941,628731,0
334,1963-04-30,5.1941,5.218999999999999,5.1189,5.1436,1041897,0
335,1963-05-01,5.1436,5.1941,5.1269,5.1519,718550,0
336,1963-05-02,5.1601,5.2021,5.1601,5.1941,440112,0
337,1963-05-03,5.1941,5.1941,5.1601,5.1601,368256,0
338,1963-05-06,5.1519,5.1519,5.0769,5.0769,709569,0
339,1963-05-07,5.0769,5.1269,5.0685,5.1018,646694,0
340,1963-05-08,5.1104,5.2104,5.1104,5.2104,889207,0
341,1963-05-09,5.2104,5.2689,5.2104,5.218999999999999,1347281,0
342,1963-05-10,5.218999999999999,5.2689,5.1854,5.2689,565859,0
343,1963-05-13,5.2607,5.2607,5.2104,5.2273,458078,0
344,1963-05-14,5.2273,5.2356,5.2021,5.218999999999999,538914,0
345,1963-05-15,5.218999999999999,5.2438,5.218999999999999,5.2356,628731,0
346,1963-05-16,5.2356,5.2523,5.2021,5.2104,538914,0
347,1963-05-17,5.2104,5.2607,5.1687,5.1772,547896,0
348,1963-05-20,5.1772,5.1941,5.1269,5.1269,520952,0
349,1963-05-21,5.1269,5.1772,5.1189,5.1772,619749,0
350,1963-05-22,5.1772,5.2523,5.1601,5.1687,404183,0
351,1963-05-23,5.1687,5.1854,5.1519,5.1519,395202,0
352,1963-05-24,5.1519,5.1772,5.1189,5.1355,350294,0
353,1963-05-27,5.1269,5.1269,5.0769,5.0769,547896,0
354,1963-05-28,5.0937,5.1436,5.0937,5.1018,538914,0
355,1963-05-29,5.1355,5.2104,5.1355,5.2104,664662,0
356,1963-05-31,5.2356,5.3024,5.2356,5.2856,1284409,0
357,1963-06-03,5.2856,5.3024,5.2438,5.2438,1014954,0
358,1963-06-04,5.2438,5.2856,5.2356,5.2523,700585,0
359,1963-06-05,5.2523,5.2775,5.2021,5.2104,592806,0
360,1963-06-06,5.2104,5.2356,5.1854,5.2104,350294,0
361,1963-06-07,5.2104,5.218999999999999,5.1854,5.1941,431133,0
362,1963-06-10,5.1941,5.1941,5.1189,5.1269,790405,0
363,1963-06-11,5.1355,5.1854,5.1355,5.1519,332329,0
364,1963-06-12,5.1519,5.2021,5.1355,5.1941,664662,0
365,1963-06-13,5.1941,5.2523,5.1189,5.1355,538914,0
366,1963-06-14,5.1355,5.1601,5.1189,5.1355,404183,0
367,1963-06-17,5.1355,5.1355,5.0854,5.0937,511969,0
368,1963-06-18,5.0937,5.1355,5.0854,5.0854,637714,0
369,1963-06-19,5.0854,5.0937,5.06,5.0685,781425,0
370,1963-06-20,5.0685,5.0685,4.9935,5.0435,1419137,0
371,1963-06-21,5.0435,5.06,5.0435,5.0519,655676,0
372,1963-06-24,5.0519,5.0685,4.9766,4.9766,934118,0
373,1963-06-25,4.9766,5.0353,4.9431,4.9519,808367,0
374,1963-06-26,4.9519,4.9519,4.8597,4.8597,1490990,0
375,1963-06-27,4.8597,4.9016,4.7849,4.8096,1634705,0
376,1963-06-28,4.8267,4.8597,4.8267,4.8346,781425,0
377,1963-07-01,4.8346,4.8346,4.7179,4.7264,1787394,0
378,1963-07-02,4.751,4.8597,4.751,4.8597,1401172,0
379,1963-07-03,4.868,4.9098,4.868,4.8934,1230516,0
380,1963-07-05,4.9016,4.9349,4.9016,4.9349,538914,0
381,1963-07-08,4.9183,4.9183,4.8267,4.8346,718550,0
382,1963-07-09,4.8346,4.9098,4.8096,4.8849,781425,0
383,1963-07-10,4.8766,4.8766,4.8267,4.8433,772443,0
384,1963-07-11,4.8433,4.8766,4.8096,4.8096,736513,0
385,1963-07-12,4.8096,4.8346,4.7849,4.7849,682623,0
386,1963-07-15,4.7849,4.8096,4.7595,4.7928,970044,0
387,1963-07-16,4.7928,4.8267,4.7928,4.8267,952080,0
388,1963-07-17,4.8267,4.868,4.7849,4.8015,970044,0
389,1963-07-18,4.8015,4.8182,4.7595,4.7595,1086804,0
390,1963-07-19,4.7595,4.7679,4.743,4.7595,853277,0
391,1963-07-22,4.7595,4.7679,4.7264,4.743,718550,0
392,1963-07-23,4.743,4.7928,4.7264,4.7264,1005969,0
393,1963-07-24,4.7264,4.7762,4.7094,4.751,754479,0
394,1963-07-25,4.751,4.7849,4.751,4.751,655676,0
395,1963-07-26,4.751,4.7849,4.751,4.7849,467056,0
396,1963-07-29,4.7849,4.8015,4.7849,4.8015,395202,0
397,1963-07-30,4.8267,4.9098,4.8267,4.9098,1302372,0
398,1963-07-31,4.9098,4.9683,4.8182,4.8182,1365247,0
